,Cool,Funny,Rating,Text,Useful,Sentiment
0,13,7,4.0,"4.5 stars.Brand new gastropub with enticing cocktails, beer and wine, plus interesting options on their food menu. The bar is elegant, spotless and relaxed... Cool music is being played, and you immediately get a good vibe after you walk inside. I didn't have anything to eat (but planning on doing it next time), and Jaime was very helpful in selecting a beer for my mood from the 16 drafts they offer. The guy knows how to relate to his customers. I can't say enough about his demeanor, friendliness and willingness to make sure you have a good time. He's the type of bartender you want to tell your secrets and ask for advice. I hope I'll find him there again when I return in the future. Go and have a blast. And tell Jaime I sent you (the Italian dude who used to live in the city with the horse race... I doubt he'll remember...lol).",17,0.9764
1,13,7,4.0,"Cons: 1) Bathrooms. Not enough of them and always a crazy long line. Really ruins the museum experience when you're waiting to pee for an hour. 2) They've done away with the ""pay what you can"" model for most patrons (it's now only NY residents or students from the tri-state region). I always appreciated how the Met made art accessible to all - while I understand the reasoning behind the admission changes, it's still disheartening. 3) The gift shop is basically extortion with those pricesPros: Just about everything else. The Met has the most incredible collection of pieces ancient and contemporary that you can possibly imagine. It's no wonder that I've lived in NYC for over a year now and I've still only seen a fraction of the pieces on display. I love the traveling exhibits (especially those hosted by the Costume Institute), but other must-sees in my humble opinion include the mummy/Egyptian exhibit, the Medieval armor, and the contemporary art, which has a number of Picassos/Monets/Manets/Matisses/etc. The museum staff is also INCREDIBLE. I have never come across a member of the staff that wasn't amazingly well-versed in the layout of the museum. I find that they are all eager to help and love to give suggestions about what to see and how to maximize your time. Bathrooms aside, the museum itself is breathtaking. It's no wonder so many people come here to study, to draw, to get away from it all. Excited to come back in a few days for the Heavenly Bodies exhibit!",15,0.9784
2,34,30,4.0,"They were ""temporarily closed"" for over a year due to a catastrophic fire, and my poor heart was continually tormented by the evil foreboding that they might never open again, which is the fate common to so many restaurants that are temporarily closed for an extended period of time, and lose their regular patrons to competitors. If ever mortal felt jubilant at being proved wrong, that was my state when Sarge's reopened a couple of months ago, dispelling all my irrational fears, and I was proud to be humbled [**oxymoron alert**] by the triumph of my beloved deli over the calamitous fire that had interrupted its operations. The pastrami is generous in portion and its texture is every bit as buttery as I remembered it. The chopped liver is smooth and tasty. The complimentary cole slaw is light and balanced, not too vinegary, not too sweet, just right. The corned beef hash is a prodigious portion and comes with three eggs. I am never able to finish it even though I tend to overeat every time I am at Sarge's. Oh, and the crinkle-cut fries are just right, with a crispy exterior and soft inside. The decor (or lack thereof) is unassuming and reminiscent of old school diners that are so hard to find these days. The service is friendly, familial even, if you dine here frequently and they start to recognize you. I used to live on the same block as Sarge's, and this used to be my haunt for a late night indulgence. Having long moved away from the neighborhood, I still make the urban trek to eat here every now and again. The fact that they're open 24 hours does not hurt. Eating here at the wee hours of the night also provides some interesting people-watching opportunities. Be aware that this is a kosher-style, not kosher, deli. I continue to be the heinous heretic who prefers Sarge's over 2nd Avenue Deli and Katz's.",43,-0.5954
3,11,8,4.0,"Came here for dinner with my bf. Walking in here was an experience on its own. The decor and ambiance was absolutely beautiful. Very sexy and grown with areas for date night and a nice group family or friend dinner. We were seated in the back in a quiet couple area and I loved it. Super romantic! I had the chai drink and it was absolutely amazing! We tried a few others including the lassi (all alcoholic) and they were too strong and harsh for our liking.For appetizers we had the lamb keema, and chicken 65. Both were amazing! The keema came with some bread that was the perfect accompaniment! Delicious! For entree we had the onion and cheese naan and the butter chicken with a side of rice. Nothing special here, I've had better butter chicken before but definitely enjoyable. I liked the naan but my bf didn't. I guess it's a matter of choice. The service was exceptional! Probably one of my fave things here after the ambiance! The portions were a little small and it was pricey but overall it was a nice date night spot. I would definitely recommend going at least once. I want to try to brunch next!",20,0.994
4,13,4,4.0,"This place has been on my radar for a quite a long time... I finally made it there for a quick snack! I was so happy to see all the beautiful, colorful, vibrant and adorable desserts lined up neatly, waiting to be chosen. At this visit, I just wanted something adorable, no matter what kind of dessert it was, or what kind of flavor it was. We got was Raspberry Lychee Tart and Lucky Hazelnut. The Raspberry Lychee Tart shell was rather hard, it fell apart as I tried to cut them in half... And it didn't have much lychee flavor, unless you eat the actual lychee on the bottom, I wish if it had more lychee flavor. Lucky Hazelnut was sooooo fluffy and bouncy, with excellent hazelnut and vanilla flavor. We also got Matcha Cream Puff. It had loads and loads of filling, it was simply awesome! The cream filling had a great matcha flavor, sweet without being overly sweet. Excellent cream puff!To wash off all the adorable, sweet goodness, we bought Praline Latte and Brown Sugar Tea Latte. Praline Latte was tasty with nice praline flavor. For some reason, it was not as hot (temperature wise) as it should have... Brown Sugar Tea Latte was much sweeter than I expected. It was tasty and I could really taste the brown sugar, but at the end, it was a bit too sweet for my taste. They had so many more pastries and baked goods that I still want to try, so we will be going back for more sometime in a near future...",20,0.9881
5,14,9,4.0,"A utopia for Nutella fanatics like me.When I heard a designated cafe for my favorite spread was coming soon, flashbacks from my childhood rushed into my head: my mom using it as a spread atop king hawaiian rolls for breakfast, my cousin and I sneaking downstairs past midnight to dip strawberries into the jar, and even seeing Kobe's face on the wrapper nearly 20 years ago lol. So with it occupying such a special place in my heart, you can probably imagine my excitement for the grand opening.However, I was initially rubbed the wrong way upon seeing the horrendous line wrapping around the corner -- not the fact that it was there, but how it was handled. Certainly, a long wait is to be expected at such a hyped spot and the capacity constraints must be abided by. But instead of letting a few people inside as a group was finishing up, the protocol was such that a table had to be emptied and cleaned before the next party could be admitted, which led to several minutes of these seats being unoccupied, when visitors could've spent the time perusing the menu. My friends will say I was just impatient and hungry, but I def think this process could be streamlined!But all is forgiven with a creme brulee, grilled baguette, and sourdough toast with ricotta and fruit -- all with sweet sweet nutella, of course. We also shared an espresso drink, which was a good palate cleanser between the more desserty dishes. The concoctions are endless: nutella popsicles, nutella gelato, nutella fondue, etc. I'll 100 be back for more, and hopefully the traffic flow will have been improved.",14,0.9909
6,9,5,4.0,"This is the ""other"" vegan dim sum restaurant in Chinatown except 100% vegan so I'm told. The one on Mott has some items with egg. The menu is super similar to the one on Mott. They have a large variety of dumplings with various fillings, rice rolls (cheong fun), steamed buns, and other typical dim sum items like turnip cake, siu mai etc. the stand out item for me is the baked vegan char siu bun-- omg the bun is so soft I didn't believe it was vegan and thought it had egg. They also have vegan Xiao long bao (soup dumplings) which I've never seen before (don't have this at Mott). However sadly I don't think it's that good. Doesn't really have soup inside and I don't like the filling. I prefer their other dumplings. The rice rolls are good! Steamed well and they are soft and chewy. Love the char siu filling or faux shrimp filling. Besides dim sum there's also entrees like noodles / chow fun/ rice dishes. Chow fun is good. They also have vegan sushi which looks kinda weird haha. Anyhoo, overall it's great to have a full vegan dim sum place around. In summary- try their char siu anything (by itself, baked buns, pastry, rice rolls). Great for a dim sum craving. Good prices. Best to come with a group of 3-4 so you can try more things & split everything! On average should be paying like $12-15 per person? Or less depending if you get entrees. They do take credit card. Service is average. Nothing outstanding, nothing too offensive. They're not gonna baby you like waiters at fancy restaurants trying to get more tip. They just take your order, serve your order then get you out lol. Would I come back? Yup! For the char siu bun. Do I have a preference over this or the one on Mott? I do like the one on Mott better. I feel like their dim sum tastes fresher and a bit more tasty.",18,0.9958
7,31,23,4.0,"I trekked to the barren tundra of way uptown in Harlem at 143rd street to meet up with a friend who was on the prowl for some quick late night D action, as I was acting as her wingman for the night.She didn't score any D, but a drunken gal at the bar showed her some quality D pics on her phone to tie her over for the time being. The night started off uneventful but turned into an epic evening of amusement watching the booze infused locals try and hook up. Solace is a fun little locals bar with nifty happy hour deals, a nice menu of food items made fresh per order, good bartenders, and some solid cocktails. Happy hour is twice as nice! Sunday-Thurs, 4-7pm and again 10pm-12 midnight. 4-7pm on Fridays and Saturdays.The mac & cheese was a tasty treat, the hell fire shrimp was ok, the fries were standard. The Hennygria cocktail served in a beer pint glass was tasty and sneaks up on ya!Solace also offers a weekend boozy brunch option with unlimited dranks! Maybe next time my friend can try some day drinking and score some afternoon delight D!",33,0.9937
8,89,46,4.0,"Great show! Fun and entertaining, loved their songs! Got my tickets through the lucky seat lottery for $45 each - $40+$5 processing fee x2 (luckyseat.com/lottery.php for anyone else interested). Picked the tickets up an hour before the show and to our surprise, we got seated right by the boxed area next the stage on the second floor! Super close to the performers, which is pretty cool. One of those classical shows you'd want to see at least once :) interesting storyline and great singers/performers on the cast.",84,0.9902
9,19,4,4.0,"This is Tao Group's newest rooftop lounge! Located in the Flower district. I think I read somewhere it's now the tallest rooftop bar in nyc which is pretty rad. Why it's cool: floor to ceiling windows, you're basically level with the H&M tower, they have awesome DJs at night coupled with a really sexy dark vibe-- and during the day it's classy and dainty. Yummy cocktails and probably the best Cosmo I've ever had in the city thus far. Also there's a crazy sick disco ball in the center of the bar. Super cute for Instagram photos!",20,0.979
