,Cool,Funny,Rating,Text,Useful,Sentiment
0,19,5,5.0,"Talk about WOW. If anyone ever asked me what my favorite cookie in NYC was, it's from Levains Bakery. Coming from a person who has tried almost every dessert in this city, these cookies are out of this world. Just the right amount of gooey-crisp ratio in every bite. When you're finished, these cookies will have you on your knees begging for more. My favorite would have to be Levain's Chocolate Chip Walnut Cookie. Even though $4 may be steep to spend on only one cookie, you'll understand why after just one bite. Since Levain's has become such a popular establishment, it does get pretty busy. I would say avoid weekend lines and go during the morning or a random weekday. Even if you do end up going during their busy hours, it will be worth the wait :)",12,0.9597
1,14,3,5.0,"Mighty Quinn's is a fast-casual barbecue chain with locations across Manhattan.Calling it the Chipotle of BBQ isn't quite accurate given how brisk their delivery business seems to be versus take-out, but I'll take it for the general ""high quality, low price point, good enough"" level that most locations seem to put out. The food stands up pretty well to delivery, and if you're getting it from the comfort of Seamless, I predict an average to positive experience. But if you're willing to make the trek to East Village flagship, which apparently makes the food for the other locations, you can find some truly standout barbecue.I first ventured here via Jane D's suggestion to try the ribs. These are probably their best: tender, just short of fall-off-the-bone, and not at all greasy. The pulled pork is also exceptional-- a fattier blend than typical, resulting in a sloppy and gluttonous sandwich, cut with crisp cucumbers and sharp pickled red onions.Other meat (brisket, chicken) has been high quality but on the dry side. Their barbecue sauce isn't anything out of the ordinary, but it's satisfying and works with all of their options. I haven't explored the sides too much yet, being a small human typically sated with their single-portion meat serving. The kale salad is pretty average; the sweet potatoes are splendid.Prices are good; I typically spend under $15 here including tax and tip. Service varies in terms of attitude but it's always efficient. There's a bathroom with a lock code.Overall, I found the meat here to be better than expected given the corporate vibe and mass production. A reliable pick for NYC barbecue and an increasing part of my diet.",21,0.9945
2,113,59,5.0,"Phenomenal Restaurant !!! We came here Monday during lunch rush. We didn't wait, the table was ready for us. This restaurant is kind of small , not to many tables so be aware that if you are coming during the weekend the lines will be long !! the wait time will be more than 30 minutes ! The menu is not long but it's exactly what you need for this kind of Restaurant , hamburgers, drinks and shakes ! The service was very fast ! . We started with drinks, One Mule and one beer. You can choose between draft , can or bottle beer. Drinks !1- Mule - Tito's Vodka! 4 of 5 , It's good but is very light ! Bartender ! please!! pour more vodka! lol 2- Jalapeño Margarita - 5 of 5 ! Excellent !!!! Spicy drink!!!! 3- 21st Amendment Brew Free or Die IPA - 5 of 5 !! Excellent Can Beer !!!Food!!1- The Spicy Mexican - 10 OF10 !!!!!!!!! Excellent spicy burger !! Chorizo Burger With Jack Cheese, Pico De Gallo & Chipotle Mayo 2- Turkey burger Salad! - 10 of 10 !!! Apple, Blue Cheese, Avocado, Dried Cranberries, House Buttermilk-Dill Dressing .. I added raw onions and mushrooms ! 1 dollar extra for onions and 2 for mushrooms ! Superb Salad !! wow! its extremely good !!!Service is very good! Place is clean ! Extremely recommended !",107,0.9954
3,18,7,5.0,"Did I just eat THE burger in New York City? The double stack burger was absolute perfection on a plate! It had that ""umami"" factor and albeit steep price, it just felt so satisfying to bite into it.There was dimension and tons of flavor. I loved the sauteed onions, the sweet bun, and pickles. The overall flavor was just very memorable. I was eating it unmodified and just the way they usually serve it and it was satisfying and I did not finish it - so portion is great for the price! (At least for me).I would love to come back for the pizza, and definitely could see myself coming back here in general. Service was good - my only pet peeve was that our group of 9 all ordered burgers and it took a very long time to get all of them out. Some of us felt too awkward to eat ours (it was a corporate lunch), and waiting made things soggy.",14,0.9867
4,14,6,5.0,"So places like this really do exist.Like many of us, I grew up romanticizing New York. I watched Saturday Night Fever and Desperately Seeking Susan and Goodfellas and most importantly, Sex in the City (and like many of us, was probably far too young for the content at the time). I saw a swanky, luxurious life filled with unthinkable embellishments. Then I moved here and realized that there's a thing called rent and another thing called student loans and another thing called taxes and I started to resent Carrie Bradshaw and her ridiculous and impossible apartment. Well, I digress. That world of splendor I pined for with every cell of my being does exist--albeit on a different scale--at Manhatta. It starts from the moment you walk in: a well-groomed host in the lobby leads you to an elevator that makes one stop only: Floor 60. You float up into paradise, into a world where people bring you things you didn't know you wanted and you can pretend for a night that this is the norm now, that you while always dine amongst the stars...Manhatta has done a magical thing: it manages to perfectly package Ideal Manhattan Experience. This is a place for a special occasion. A sweeping dining room bound by floor-to-ceiling windows that look out on the entire city. With a prix fixe-only menu, timing is executed perfectly and servers twirl in with your next course just as you start thinking you'd like to move to the next thing. It's seasonal, refined American fare with a top-notch mixology program as well. We did something very out of the ordinary for me, which is drop in to a very popular venue without a reservation. I never heed the whole ""we accept walk-ins at our bar / full dinner menu"", but this past Saturday, I the fire in my belly was strong enough. As if this place wasn't already magical enough, we exited the elevator and found ourselves staring at two empty seats at the bar. Dream it and believe it, friends.Perhaps the view wasn't *quite* as spectacular sitting at the bar, but we had an added bonus of watching our bartender fix up some fantastic drinks. We both stuck with cocktails here despite the impressive wine list, and I'm glad we did. The drink menu changes frequently so sadly I can't report much of what we had, but I can speak to two on the current online menu: the Castle Garden (Gin, Benedictine, Honey, Lime, Angostura) the Manhatta (New York Distilling Ragtime Rye, Punt e Mes, Lustau East India Sherry, Bitters). Both well-executed a yummy. My favorite drink of the night was a stirred vodka cocktail brand new to the menu. I don't like vodka so the idea of a *stirred* vodka drink sounds awful at first, but the bartender convinced me as a fellow vodka-disenthusiast. It's worth your time. We came during Valentine's Day weekend (the actual day was 2/16) so the bar was offering its usual a la carte menu (most dishes are totally different than the tasting menu) as well as a four-course meal for $188. Pretty steep considering their three-courser is $88, but the dishes looked so good, we couldn't pass it up. That's the last time we ball out for a while, but it was worth it. Our eats, below:Citrus Salad w/ Labneh, Roasted Beets & Hazelnut: ALight and refreshing, sophisticated an elegant. The ideal first course, kind of served as an amuse bouche. Great use of both texture and flavor.Lobster Quenelle w/ Mushrooms & Roasted Lobster Emulsion: A+Oh man, this is where it started to get decadent. I had never heard of this particular lobster preparation before but it was just divine. Rich and warming, lobster two-ways is luxurious and comforting, very unique.Soft Scrambled Eggs w/ Uni: AI had a similar preparation once at a restaurant in Philly which was out of this world, so everything else pales in comparison. So this didn't blow me away given the reference I had, but it's still delicious. Rich and creamy, you'll want to take a bath in it. Foie Gras: AMore luxury, in the form of liver. Served with some sort of mustard and maybe some sort of kraut (this isn't on the online menu so I'm doing my best), all components meshed well.Bites, compliments of the kitchen, brought out during our first course:Chicken Liver Mousse w/ Everything Bagel Seasoning: A+ Eat this with bread, eat this plain, delicacy after delicacy will greet you here.Oysters: A+Can't remember the accompaniments but these were fresh and delicious, a nice interlude before the rest of the meal.Crescent Duck w/ Offal Sausage, Confit, Endive & Prunes: A+Cooked perfectly, a beautiful winter entree. Rich, subtle sweet-and-savory melody going on, served in some yummy sauce and punctuated with candied nuts and more citrus.Wagyu Coulotte w/ Mushrooms, Celeriac, Turnips & Beet Jus: A+Another beautifully seasonal dish, excellent cook on the meat. I almost never eat red meat but our meal and Manhatta proved to be an ideal opportunity to splurge (though I do feel I'll need a steady diet of veggies and quinoa for the next week as a result).",15,0.9995
5,14,5,5.0,"Visited Yara's based on the recommendation of a friend and I'm glad I did. Upon entering we were greeted by a friendly hostess but that was just the beginning of our great experience. The next thing that caught our attention was the decor and ambience, it was obvious that attention was paid to every detail, the place is gorgeous!After being sat we were greeted by a friendly waitress who took our appetizer and drink orders, not too long after, the Chef came to our table to greet us and give us some recommendations for our entrees. I ended up choosing the mixed grill platter and my date chose the Salmon which was the catch of the day. While waiting for our order, Jacob (the owner) came by our table to check on how things were going. He was very pleasant, funny and welcoming. Our food came out fairly quickly and as soon as we dug into each of our dishes, we were blown away by the wonderful flavors. Their Salmon is THE BEST I'VE EVER HAD IN NEW YORK!!! Yeah I said it! It was F'N AMAZING!! It was so good I suggested that they make it a permanent item on the menu. The mixed grill platter was also great but that Salmon...GEEEEZ!!! Both dishes were served with mixed veggies and rice. Don't forget to ask for a side of Toum(Lebanese Garlic Sauce).Yara has GREAT potential and I definitely see it taking off and becoming one of the ""it"" spots in the city. I can't wait to go back and explore the rest of the menu.",15,0.998
6,16,16,5.0,"LOOK, when I first heard about ""Sleep No More,"" I thought that it sounded like a terrible high school art project. An ""interactive"" 20th-century version of MacBeth with no dialogue where you just roam around the set and wait for things to happen? I was wrong. This is the best show in NYC, and if you are visiting, I recommend it immensely. And I typically have no truck for avant-garde stuff, can't really understand performed dance, and am a cultural aesthetic simpleton whose favorite movies are Legally Blonde and Miss Congeniality. But I was mesmerized by this thing. The set design is unreal, and so are the performances. I've never seen anything like it. In the decades to come, as AI ascends, we will be intensely debating the question: ""What makes humans truly human?"" Well, let me tell you something: it's creations like Sleep No More, testaments to human creativity stretched to their absolute maximum bounds. Good, golly, WOW!The only thing I suggest to the producers is they've got to do something about pushy audience members who think it's OK to just shove other people aside. NO! This kind of unwanted behavior should be halted by the various black masked ""security"" personnel. I'm also going to add that handholding should be banned because it slows down the flow of foot traffic and causes bottlenecks. Even though they recommend you explore this individually, certain couples here can't psychologically afford to let go for even 2-3 hours. I believe there are two things at work: alarming co-dependency, or worse, the ""man"" who feels he has to ""protect"" his partner and can't let her go. I've seen both, and neither bodes well for long-term relationship dynamics.",21,0.8761
7,16,12,5.0,"There's something special about their macarons. Unique flavors and combinations, they really are top notch. I absolutely love the key lime pie ice cream macaron sandwich, which is sweet and tart, a piece of heaven in each bite. It seems as they always have something new here, sweets from wall to wall. You really can't go wrong. They even have an early grey tea macaron! And guess what, all of the products sold here is plant based. Reasonably priced for NY macarons, and delectable to boot. I'm a yuge fan and I'm sure you will be too.",14,0.9828
8,35,14,5.0,"The Bronx zoo is a great way to spend a Wednesday. Why Wednesday ? because it's by donations ^.^. They also have seasonal events that can be fun for the family and young ones. For Easter they had an egg scavenger hunt , a birdathon coming up in may and a garden event by farm on now in June. On top of that they have a 4-D theater with built in sensory effects, my niece loved it so much the first five minutes and then she fell asleep from fatigue. One of her favorite things to do was the bug carousel she choose to ride on top of the firefly. Now the coolest thing ever that I discovered during my visit was the NATURETREK! I actually did it with my niece cause I'm a kid at heart and I did not have this as a child lol. The naturetrek was my favorite it was very cool navigating through bridges balancing beams and weaves between obstacles. it was very impressive to see how well this was built. The Bronx zoo also has sea lions and penguins feedings where you can watch them. Now in the children's zoo section you can actually feed the animal yourself where you can dispense pellets from a quarter machine to feed the sheep, goats and donkeys. They also have camel rides from those who want to ride we skip that part. We got the total experience and the camel ride was not included but it did include a lot such as the butterfly garden, children's zoo, Congo gorilla forest , jungle world , 4D Theater , bug carousel , wild Asia monorail and zoo shuttle the prices for an Adult is 37$ and kids 3 and up 27$ . Overall a very fun experience",37,0.9589
9,10,4,5.0,"Cup & Cup is my new favorite lunch spot in the Herald Square area! (...Okay, it's a few minutes walk from Herald Square but close enough). Ambiance-wise it's more of a cafe than a restaurant, but they serve up some great food AND it's very affordable. You can order a rice or noodle dish for $7.50, or choose from a combo:- $8.50 for a dish + a drink (less than $3)- $10 for a dish + a drink (over $3)- $10 for two dishes + a side + a drink (only downside to this option is that the dishes are pre-picked for you)I've tried the karaage, California rice, and Japanese curry rice bowls and loved them all. The portion size is perfect for lunch - the karaage bowl was especially filling, though the Japanese curry one could've used more curry and croquette relative to the amount of rice. If I'm in a splurge-y mood then I usually get an iced green tea latte along with my meal, which is also excellent.The baristas/cashiers are consistently friendly, and there is always ample seating available and mellow/indie music playing in the background. I've never had to wait too long for my food during lunchtime either (the longest was probably 10 minutes). My only gripe about this place is that they're cash only, but everything comes out to a conveniently even amount ($10, $7.50, etc) that even this is only a minor issue. Overall, I highly recommend Cup & Cup for lunch!",17,0.9823
